well,row,column,sample description,,barcode1,barcode2,initial DNA concentration,initial DNA volume,library concentration,library volume,notes
1,A,1,216,S3#A01,701,531,,,,,
2,A,2,61,S3#A02,702,531,,,,,
3,A,3,228,S3#A03,703,531,,,,,
4,A,4,54,S3#A04,704,531,,,,,
5,A,5,49,S3#A05,705,531,,,,,
6,A,6,96,S3#A06,706,531,,,,,
7,A,7,206,S3#A07,707,531,,,,,
8,A,8,202,S3#A08,708,531,,,,,
9,A,9,136,S3#A09,709,531,,,,,
10,A,10,13,S3#A10,710,531,,,,,
11,A,11,110,S3#A11,711,531,,,,,
12,A,12,56,S3#A12,712,531,,,,,
13,B,1,129,S3#B01,701,532,,,,,
14,B,2,74,S3#B02,702,532,,,,,
15,B,3,41,S3#B03,703,532,,,,,
16,B,4,126,S3#B04,704,532,,,,,
17,B,5,176,S3#B05,705,532,,,,,
18,B,6,161,S3#B06,706,532,,,,,
19,B,7,4,S3#B07,707,532,,,,,
20,B,8,50,S3#B08,708,532,,,,,
21,B,9,180,S3#B09,709,532,,,,,
22,B,10,153,S3#B10,710,532,,,,,
23,B,11,32,S3#B11,711,532,,,,,
24,B,12,162,S3#B12,712,532,,,,,
25,C,1,122,S3#C01,701,533,,,,,
26,C,2,217,S3#C02,702,533,,,,,
27,C,3,160,S3#C03,703,533,,,,,
28,C,4,239,S3#C04,704,533,,,,,
29,C,5,173,S3#C05,705,533,,,,,
30,C,6,148,S3#C06,706,533,,,,,
31,C,7,33,S3#C07,707,533,,,,,
32,C,8,181,S3#C08,708,533,,,,,
33,C,9,182,S3#C09,709,533,,,,,
34,C,10,214,S3#C10,710,533,,,,,
35,C,11,167,S3#C11,711,533,,,,,
36,C,12,163,S3#C12,712,533,,,,,
37,D,1,2,S3#D01,701,534,,,,,
38,D,2,176,S3#D02,702,534,,,,,
39,D,3,200,S3#D03,703,534,,,,,
40,D,4,238,S3#D04,704,534,,,,,
41,D,5,55,S3#D05,705,534,,,,,
42,D,6,36,S3#D06,706,534,,,,,
43,D,7,31,S3#D07,707,534,,,,,
44,D,8,21,S3#D08,708,534,,,,,
45,D,9,20,S3#D09,709,534,,,,,
46,D,10,7,S3#D10,710,534,,,,,
47,D,11,93,S3#D11,711,534,,,,,
48,D,12,87,S3#D12,712,534,,,,,
49,E,1,71,S3#E01,701,535,,,,,
50,E,2,66,S3#E02,702,535,,,,,
51,E,3,57,S3#E03,703,535,,,,,
52,E,4,143,S3#E04,704,535,,,,,
53,E,5,139,S3#E05,705,535,,,,,
54,E,6,131,S3#E06,706,535,,,,,
55,E,7,114,S3#E07,707,535,,,,,
56,E,8,209,S3#E08,708,535,,,,,
57,E,9,207,S3#E09,709,535,,,,,
58,E,10,204,S3#E10,710,535,,,,,
59,E,11,187,S3#E11,711,535,,,,,
60,E,12,112,S3#E12,712,535,,,,,
61,F,1,161,S3#F01,701,536,,,,,
62,F,2,111,S3#F02,702,536,,,,,
63,F,3,108,S3#F03,703,536,,,,,
64,F,4,100,S3#F04,704,536,,,,,
65,F,5,155,S3#F05,705,536,,,,,
66,F,6,157,S3#F06,706,536,,,,,
67,F,7,158,S3#F07,707,536,,,,,
68,F,8,223,S3#F08,708,536,,,,,
69,F,9,229,S3#F09,709,536,,,,,
70,F,10,226,S3#F10,710,536,,,,,
71,F,11,224,S3#F11,711,536,,,,,
72,F,12,225,S3#F12,712,536,,,,,
73,G,1,2119,S3#G01,701,537,,,,,
74,G,2,218,S3#G02,702,537,,,,,
75,G,3,211,S3#G03,703,537,,,,,
76,G,4,230,S3#G04,704,537,,,,,
77,G,5,223,S3#G05,705,537,,,,,
78,G,6,234,S3#G06,706,537,,,,,
79,G,7,235,S3#G07,707,537,,,,,
80,G,8,236,S3#G08,708,537,,,,,
81,G,9,243,S3#G09,709,537,,,,,
82,G,10,242,S3#G10,710,537,,,,,
83,G,11,246,S3#G11,711,537,,,,,
84,G,12,14,S3#G12,712,537,,,,,
85,H,1,15,S3#H01,701,538,,,,,
86,H,2,17,S3#H02,702,538,,,,,
87,H,3,18,S3#H03,703,538,,,,,
88,H,4,23,S3#H04,704,538,,,,,
89,H,5,25,S3#H05,705,538,,,,,
90,H,6,26,S3#H06,706,538,,,,,
91,H,7,29,S3#H07,707,538,,,,,
92,H,8,30,S3#H08,708,538,,,,,
93,H,9,col-0_4,S3#H09,709,538,,,,,
94,H,10,pat_2,S3#H10,710,538,,,,,
95,H,11,pat_3,S3#H11,711,538,,,,,
96,H,12,pat_4,S3#H12,712,538,,,,,